Data,Operation,Resource_0,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Chosen_Resource,Adress
19964063,1,95,49,46,40,16,26,4,10.0.0.7
11428338,2,60,52,34,87,50,1,5,10.0.0.8
88940306,2,98,13,99,8,69,74,3,10.0.0.6
56082410,2,8,49,44,27,2,16,5,10.0.0.8
44464530,2,58,38,56,100,50,93,1,10.0.0.4
18319278,2,73,78,67,2,3,43,3,10.0.0.6
61883709,1,24,25,98,4,63,85,0,10.0.0.3
47143335,1,25,92,83,98,17,18,4,10.0.0.7
9820662,1,89,99,66,57,75,4,2,10.0.0.5
82498798,2,64,79,51,4,16,85,3,10.0.0.6
66152848,1,27,12,28,24,9,4,4,10.0.0.7
64631564,2,49,15,54,27,42,78,1,10.0.0.4
77891858,2,4,41,98,72,6,42,1,10.0.0.4
57485824,1,73,96,15,93,61,29,2,10.0.0.5
40417942,2,8,87,25,77,89,42,5,10.0.0.8
47408893,2,90,78,38,55,61,96,3,10.0.0.6
29545584,2,53,82,69,93,20,57,5,10.0.0.8
83417359,1,26,28,21,84,58,58,2,10.0.0.5
18751333,1,92,38,91,27,14,75,4,10.0.0.7
56484447,1,69,76,60,25,63,15,2,10.0.0.5
44995494,1,3,63,35,9,25,17,0,10.0.0.3
39603979,2,59,29,2,35,99,87,1,10.0.0.4
510749,2,26,3,24,71,65,65,1,10.0.0.4
41258761,2,96,52,100,100,76,18,5,10.0.0.8
32142584,2,74,36,70,2,14,62,3,10.0.0.6
33243010,2,38,15,63,88,90,35,1,10.0.0.4
43889679,1,90,90,38,84,33,17,4,10.0.0.7
5996145,2,62,81,65,22,25,58,3,10.0.0.6
2222647,1,53,100,36,58,68,57,2,10.0.0.5
57298303,2,32,45,42,80,17,48,1,10.0.0.4
81338203,1,97,56,42,99,91,63,2,10.0.0.5
57530923,2,28,37,39,11,12,80,3,10.0.0.6
43780569,1,71,37,84,10,80,48,0,10.0.0.3
26907957,2,95,49,81,75,25,19,5,10.0.0.8
66321381,2,29,33,83,11,20,88,3,10.0.0.6
20950453,1,2,49,32,24,36,72,0,10.0.0.3
29353918,1,64,74,90,57,73,4,0,10.0.0.3
96199949,1,93,53,56,73,74,40,2,10.0.0.5
21132974,1,35,16,88,81,52,49,0,10.0.0.3
70640608,1,26,85,27,4,86,48,0,10.0.0.3
99109725,2,38,64,62,86,20,16,5,10.0.0.8
19101551,2,21,93,36,34,12,65,3,10.0.0.6
52177324,2,18,64,41,13,64,4,5,10.0.0.8
77142028,2,41,73,28,80,64,66,5,10.0.0.8
29292273,1,65,54,87,13,34,67,4,10.0.0.7
83741716,2,56,10,90,1,26,84,3,10.0.0.6
7171503,1,62,7,50,33,21,44,4,10.0.0.7
67968985,1,31,97,61,66,20,39,4,10.0.0.7
40067742,1,5,81,91,10,30,6,0,10.0.0.3
45354345,2,29,38,30,83,41,86,1,10.0.0.4
51209691,2,82,0,86,47,32,59,1,10.0.0.4
89400304,2,72,75,12,14,80,54,3,10.0.0.6
34164860,1,2,99,58,66,86,93,0,10.0.0.3
37353460,1,26,57,43,86,58,71,0,10.0.0.3
40956242,1,22,16,1,8,48,37,2,10.0.0.5
34410149,2,6,92,12,32,23,34,3,10.0.0.6
92628155,2,18,97,6,97,64,73,5,10.0.0.8
18215786,1,70,33,86,93,73,29,0,10.0.0.3
55020595,2,7,64,90,8,7,61,3,10.0.0.6
14363650,1,34,79,13,49,38,46,2,10.0.0.5
52119323,1,90,18,34,9,10,23,4,10.0.0.7
63981076,2,93,92,10,65,75,15,5,10.0.0.8
6079646,2,96,49,37,87,92,75,1,10.0.0.4
20329768,1,36,58,46,20,46,82,0,10.0.0.3
66488897,2,55,94,27,14,89,99,3,10.0.0.6
6611240,2,89,46,12,1,29,45,3,10.0.0.6
80107546,1,52,13,25,3,23,23,4,10.0.0.7
34413541,1,0,59,20,87,83,69,0,10.0.0.3
79817578,2,84,35,21,15,85,6,5,10.0.0.8
79373601,1,42,90,99,22,1,66,4,10.0.0.7
20355668,1,57,86,11,62,96,87,2,10.0.0.5
11405611,1,95,85,70,71,67,28,4,10.0.0.7
44935186,1,31,14,41,89,13,79,4,10.0.0.7
93805769,2,32,71,29,18,100,26,3,10.0.0.6
25839163,2,62,1,73,63,49,79,1,10.0.0.4
97436773,2,59,5,1,60,25,37,1,10.0.0.4
82722268,1,18,30,5,50,32,22,2,10.0.0.5
48404811,2,15,100,31,16,67,70,3,10.0.0.6
33133763,1,85,36,90,62,11,57,4,10.0.0.7
48436077,1,84,100,88,0,64,45,4,10.0.0.7
15965608,1,3,73,4,98,18,47,0,10.0.0.3
45681003,1,68,47,10,7,41,45,2,10.0.0.5
26823436,1,78,100,60,33,9,69,4,10.0.0.7
55244097,1,64,77,67,62,36,57,4,10.0.0.7
6595034,2,85,10,83,69,8,26,1,10.0.0.4
49294120,1,27,88,49,11,82,45,0,10.0.0.3
57748191,2,64,3,76,81,43,3,1,10.0.0.4
89954884,1,0,89,15,96,36,79,0,10.0.0.3
89766682,1,39,4,91,37,38,58,4,10.0.0.7
28323733,2,81,12,15,13,89,45,1,10.0.0.4
95179889,1,1,14,19,56,98,48,0,10.0.0.3
87883525,1,36,36,81,88,83,30,0,10.0.0.3
68544696,2,48,55,2,27,25,25,5,10.0.0.8
31860804,2,91,85,15,61,93,72,3,10.0.0.6
69274814,2,3,45,60,93,42,95,1,10.0.0.4
76669242,2,84,96,13,59,56,45,5,10.0.0.8
54602703,2,72,62,32,89,32,26,5,10.0.0.8
27282291,2,12,62,4,14,14,24,3,10.0.0.6
69275794,1,39,74,59,8,62,63,0,10.0.0.3
55551319,2,24,77,93,54,73,65,3,10.0.0.6
52088888,2,66,44,98,58,5,74,1,10.0.0.4
3135966,1,52,19,9,37,38,62,2,10.0.0.5
11724669,2,99,52,70,58,93,10,5,10.0.0.8
25512510,2,67,17,91,84,28,93,1,10.0.0.4
41117354,2,60,9,61,6,76,2,5,10.0.0.8
47056520,1,61,56,100,41,87,92,0,10.0.0.3
43067716,2,48,72,70,20,67,96,3,10.0.0.6
62906010,1,78,35,90,34,0,41,4,10.0.0.7
85837021,1,34,1,92,59,55,30,0,10.0.0.3
79943374,2,55,86,27,84,83,95,3,10.0.0.6
96725408,2,88,73,88,8,83,20,3,10.0.0.6
33421935,1,8,33,37,95,5,59,4,10.0.0.7
40617108,1,7,81,27,1,25,98,0,10.0.0.3
16049846,2,17,93,13,72,50,69,5,10.0.0.8
3192653,1,79,68,16,26,90,43,2,10.0.0.5
36972638,1,74,70,41,28,47,93,2,10.0.0.5
79374606,2,93,6,37,29,51,89,1,10.0.0.4
26417307,2,72,91,72,56,26,18,5,10.0.0.8
77849337,2,76,87,46,60,31,69,3,10.0.0.6
82624081,2,73,89,42,69,74,1,5,10.0.0.8
30702531,1,33,63,56,6,5,70,4,10.0.0.7
87878248,2,70,38,42,3,64,31,3,10.0.0.6
16222896,2,59,96,61,22,97,46,3,10.0.0.6
22661288,1,95,36,70,49,8,19,4,10.0.0.7
60423717,2,60,48,77,38,21,69,3,10.0.0.6
40212784,1,11,80,67,19,22,94,0,10.0.0.3
71524520,2,20,91,59,33,85,32,5,10.0.0.8
41099823,1,89,36,41,42,24,83,4,10.0.0.7
6901982,1,43,56,68,46,47,91,0,10.0.0.3
66736636,1,38,93,47,19,83,7,0,10.0.0.3
23716035,1,84,21,52,11,30,68,4,10.0.0.7
88669440,1,61,43,11,90,65,31,2,10.0.0.5
36288334,1,89,27,78,11,34,57,4,10.0.0.7
96307542,2,78,38,22,51,12,45,1,10.0.0.4
9805083,1,76,35,59,11,91,90,2,10.0.0.5
19425859,2,18,81,1,50,69,32,5,10.0.0.8
2071678,2,83,100,80,33,16,12,5,10.0.0.8
96373090,1,42,53,51,33,51,89,0,10.0.0.3
76463537,1,60,58,23,57,45,12,2,10.0.0.5
75448843,1,42,37,54,41,90,47,0,10.0.0.3
37794723,1,69,55,75,83,66,34,4,10.0.0.7
16416705,1,22,80,19,10,84,14,2,10.0.0.5
9486245,1,96,12,58,76,11,89,4,10.0.0.7
26822435,1,32,66,25,59,89,44,2,10.0.0.5
52912957,2,0,38,65,57,15,49,1,10.0.0.4
14088138,2,46,70,31,29,60,24,5,10.0.0.8
12104203,1,6,15,27,24,62,70,0,10.0.0.3
90277740,1,65,91,35,57,87,88,2,10.0.0.5
76042522,2,67,53,45,37,78,39,3,10.0.0.6
16109550,1,35,48,29,67,24,9,4,10.0.0.7
39123986,1,32,11,1,2,80,39,2,10.0.0.5
99459483,2,5,82,11,67,37,34,5,10.0.0.8
54523302,1,68,80,53,1,28,56,4,10.0.0.7
7759676,2,7,9,25,84,66,100,1,10.0.0.4
53466742,1,75,94,13,17,14,38,2,10.0.0.5
52088364,2,16,86,26,23,9,20,5,10.0.0.8
13712641,2,74,81,57,33,79,72,3,10.0.0.6
46514891,2,85,30,5,65,21,40,1,10.0.0.4
43384303,1,87,33,44,44,52,76,2,10.0.0.5
60364755,2,52,78,42,97,30,7,5,10.0.0.8
23858434,1,98,25,40,30,67,25,2,10.0.0.5
33418220,2,51,95,99,15,66,94,3,10.0.0.6
7127455,2,81,70,94,75,60,37,5,10.0.0.8
62904658,2,58,49,17,89,86,55,1,10.0.0.4
54071244,2,66,30,0,31,97,21,5,10.0.0.8
91437156,1,53,27,82,84,63,100,0,10.0.0.3
1890145,1,95,90,28,28,22,49,4,10.0.0.7
43482801,1,11,34,77,57,29,43,0,10.0.0.3
46839611,2,38,93,90,45,94,99,3,10.0.0.6
50618715,1,88,83,80,79,86,50,2,10.0.0.5
16208898,2,47,11,27,25,70,14,1,10.0.0.4
74879350,2,13,77,53,75,10,28,5,10.0.0.8
21925834,2,1,27,33,3,95,25,3,10.0.0.6
68129808,1,63,98,68,62,94,82,0,10.0.0.3
70961547,1,5,7,49,13,75,86,0,10.0.0.3
59676928,2,65,80,10,13,21,5,5,10.0.0.8
78497267,1,34,44,67,33,8,61,4,10.0.0.7
49233394,2,55,35,84,92,30,37,1,10.0.0.4
83885934,1,42,77,76,32,45,4,0,10.0.0.3
82677544,2,10,49,30,66,95,25,5,10.0.0.8
45562241,2,45,27,5,19,73,2,5,10.0.0.8
70343736,1,16,75,83,11,74,63,0,10.0.0.3
77430949,1,12,64,98,59,62,34,0,10.0.0.3
90391903,1,63,39,43,37,14,35,4,10.0.0.7
80693776,2,21,65,72,82,38,42,5,10.0.0.8
55769354,1,5,78,23,55,35,84,0,10.0.0.3
74379651,1,38,100,17,50,68,29,2,10.0.0.5
52175144,2,7,79,65,6,88,8,3,10.0.0.6
21683169,2,73,28,74,28,31,7,5,10.0.0.8
34837064,1,39,95,29,99,16,98,4,10.0.0.7
10303461,2,37,65,100,6,37,50,3,10.0.0.6
1439877,2,90,88,31,74,99,48,5,10.0.0.8
72032248,2,56,99,29,23,79,12,5,10.0.0.8
35890210,2,92,48,47,49,2,51,1,10.0.0.4
27874689,1,44,89,86,2,94,78,0,10.0.0.3
86101867,2,34,75,90,88,70,64,5,10.0.0.8
8281529,1,63,84,60,75,7,68,4,10.0.0.7
61224526,1,90,95,33,3,37,56,2,10.0.0.5
79279089,1,3,81,20,95,54,99,0,10.0.0.3
75034513,1,0,46,34,1,42,37,0,10.0.0.3
15882269,1,49,8,23,97,31,25,2,10.0.0.5
14499543,1,71,94,95,0,88,50,0,10.0.0.3
75911177,1,77,43,44,41,72,97,2,10.0.0.5
36199018,1,34,84,23,97,73,82,2,10.0.0.5
78615588,2,20,29,52,73,100,11,5,10.0.0.8
60015481,1,87,10,17,70,46,26,2,10.0.0.5
98667068,1,28,35,25,78,42,7,2,10.0.0.5
36882189,1,74,62,99,61,97,88,0,10.0.0.3
23202263,1,60,39,29,3,84,35,2,10.0.0.5
12202271,2,19,13,40,72,54,41,1,10.0.0.4
43534129,2,53,72,96,15,67,36,3,10.0.0.6
15212541,2,94,0,82,58,84,42,1,10.0.0.4
34426161,2,84,62,16,2,8,4,3,10.0.0.6
95332824,1,4,24,39,33,27,10,0,10.0.0.3
73811250,1,1,22,34,39,98,81,0,10.0.0.3
68919236,1,77,18,39,74,48,12,2,10.0.0.5
68929687,1,50,22,3,43,0,81,4,10.0.0.7
13345205,2,76,81,31,90,87,60,5,10.0.0.8
83134041,1,75,54,53,8,77,14,2,10.0.0.5
17055029,2,18,13,56,89,10,39,1,10.0.0.4
54394466,1,45,52,62,56,29,88,4,10.0.0.7
51975667,1,56,80,46,40,49,91,2,10.0.0.5
55364575,1,59,80,53,2,48,100,4,10.0.0.7
45026327,1,17,40,94,35,75,9,0,10.0.0.3
53472691,1,4,40,63,81,84,44,0,10.0.0.3
66974260,1,9,23,45,22,37,45,0,10.0.0.3
88407369,2,20,43,99,3,95,25,3,10.0.0.6
40537067,2,51,76,74,32,51,86,3,10.0.0.6
43714479,1,78,96,5,9,51,43,2,10.0.0.5
6666485,2,1,28,32,80,97,27,5,10.0.0.8
76455253,1,47,90,44,85,75,82,2,10.0.0.5
78365609,2,51,75,34,27,30,49,3,10.0.0.6
75186081,1,84,98,78,92,55,34,4,10.0.0.7
48610614,1,54,58,16,16,94,23,2,10.0.0.5
27097256,1,93,68,44,58,62,50,2,10.0.0.5
6476421,1,63,61,16,63,57,99,2,10.0.0.5
60517959,1,86,25,21,83,22,83,2,10.0.0.5
68574540,2,85,36,57,53,82,8,5,10.0.0.8
46845195,2,59,90,26,94,42,25,5,10.0.0.8
3979765,2,77,29,87,78,56,17,5,10.0.0.8
49893071,1,38,11,88,37,44,75,0,10.0.0.3
11644947,1,61,66,38,25,61,22,2,10.0.0.5
62722117,2,76,67,66,69,3,80,1,10.0.0.4
80061948,2,60,29,84,98,67,57,1,10.0.0.4
54487265,2,84,27,99,40,8,77,1,10.0.0.4
68102353,2,12,58,58,56,51,52,5,10.0.0.8
76796271,1,47,64,13,17,72,39,2,10.0.0.5
60678467,1,58,4,39,47,46,42,2,10.0.0.5
30427988,1,50,78,60,33,86,87,0,10.0.0.3
87666636,2,43,54,30,46,83,85,3,10.0.0.6
2053374,1,43,71,63,8,75,38,0,10.0.0.3
66427101,2,47,21,71,9,40,45,3,10.0.0.6
45694793,1,62,33,73,17,76,97,0,10.0.0.3
16622122,2,55,9,0,33,85,47,1,10.0.0.4
94379219,2,8,76,91,69,21,28,5,10.0.0.8
57154681,2,82,35,58,63,84,51,1,10.0.0.4
93550254,2,45,99,26,43,52,89,3,10.0.0.6
72286636,2,20,38,7,52,39,9,5,10.0.0.8
27016434,2,85,96,18,90,9,96,3,10.0.0.6
33106315,1,66,27,81,89,96,65,0,10.0.0.3
24058337,2,68,79,32,41,50,27,5,10.0.0.8
33626216,2,48,68,71,24,98,86,3,10.0.0.6
46321748,1,46,71,54,99,41,45,4,10.0.0.7
49653646,1,44,84,24,64,42,69,2,10.0.0.5
30032382,1,46,86,97,17,92,47,0,10.0.0.3
56861689,2,63,76,92,93,1,77,1,10.0.0.4
69061743,1,84,99,94,54,59,65,4,10.0.0.7
87096532,2,58,43,4,73,46,16,5,10.0.0.8
73162660,1,69,60,73,13,74,17,0,10.0.0.3
23915081,1,12,46,35,94,36,38,0,10.0.0.3
60335562,2,39,50,36,5,38,19,3,10.0.0.6
85590732,2,34,21,10,23,29,27,1,10.0.0.4
86974536,1,21,22,84,77,95,17,0,10.0.0.3
58813232,1,42,53,39,68,67,55,2,10.0.0.5
87001022,2,86,7,69,70,13,44,1,10.0.0.4
22889263,2,91,79,58,84,11,48,5,10.0.0.8
17912546,2,26,32,73,44,29,24,5,10.0.0.8
97708260,1,42,92,6,93,19,59,2,10.0.0.5
15128561,1,35,36,92,45,84,5,0,10.0.0.3
11299663,1,28,31,87,65,77,57,0,10.0.0.3
62501660,2,36,61,62,40,92,59,3,10.0.0.6
37797592,2,45,40,88,9,4,23,3,10.0.0.6
99542154,1,75,14,22,43,54,63,2,10.0.0.5
76086352,2,79,86,27,14,12,22,3,10.0.0.6
42484840,2,87,55,100,32,43,78,3,10.0.0.6
82010805,2,58,14,99,9,43,80,3,10.0.0.6
54935637,2,54,16,0,67,39,83,1,10.0.0.4
17924444,1,93,91,99,19,94,19,0,10.0.0.3
93975964,1,14,65,53,43,99,5,0,10.0.0.3
50684728,2,29,6,1,14,51,52,1,10.0.0.4
66614900,2,22,94,45,7,88,83,3,10.0.0.6
29537246,2,85,3,3,32,59,51,1,10.0.0.4
84718423,1,99,18,50,3,41,51,4,10.0.0.7
34039630,2,48,40,12,59,54,37,5,10.0.0.8
76627661,2,96,14,58,85,70,66,1,10.0.0.4
58930494,2,39,100,57,64,5,21,5,10.0.0.8
65975464,2,95,44,51,85,45,59,1,10.0.0.4
75132289,2,78,80,97,0,89,52,3,10.0.0.6
96695449,2,64,88,96,39,64,100,3,10.0.0.6
94662439,1,66,42,48,72,71,59,2,10.0.0.5
62008101,2,5,45,4,73,64,79,1,10.0.0.4
3593891,2,67,47,51,99,79,31,5,10.0.0.8
47677917,2,38,100,35,41,99,100,3,10.0.0.6
60097935,1,84,26,74,54,44,87,4,10.0.0.7
67143234,1,43,93,7,38,58,89,2,10.0.0.5
19221160,1,81,84,80,12,61,83,4,10.0.0.7
48320887,2,15,91,80,17,57,99,3,10.0.0.6
99261330,1,49,16,9,100,67,6,2,10.0.0.5
1600931,1,71,41,76,87,57,28,4,10.0.0.7
94192020,1,27,92,57,2,100,0,0,10.0.0.3
88401282,1,60,59,57,70,38,70,4,10.0.0.7
11716559,1,98,91,24,90,44,91,2,10.0.0.5
42782309,1,27,100,91,17,39,18,0,10.0.0.3
47250340,2,65,76,0,99,28,81,1,10.0.0.4
90124466,2,65,49,75,11,89,36,3,10.0.0.6
87400003,2,56,79,85,34,10,32,5,10.0.0.8
8783809,1,81,40,65,24,75,8,2,10.0.0.5
26625427,2,57,84,9,62,18,49,5,10.0.0.8
10910057,1,94,76,68,20,34,24,4,10.0.0.7
81248022,2,44,36,71,47,39,55,1,10.0.0.4
55794848,1,92,7,87,52,1,59,4,10.0.0.7
91702802,1,71,17,91,84,30,45,4,10.0.0.7
77446647,1,46,58,100,16,49,45,0,10.0.0.3
33126109,2,26,3,38,65,87,2,5,10.0.0.8
97470287,1,71,61,89,80,7,77,4,10.0.0.7
94301810,1,30,39,71,32,21,50,4,10.0.0.7
7802806,2,54,44,68,26,72,25,5,10.0.0.8
50021971,2,83,10,49,83,86,31,1,10.0.0.4
95848899,1,46,94,59,48,84,44,0,10.0.0.3
71081273,2,20,80,46,66,96,47,5,10.0.0.8
69858976,1,6,8,54,5,75,81,0,10.0.0.3
22996439,2,17,43,42,32,95,35,3,10.0.0.6
41445384,1,37,68,91,91,5,26,4,10.0.0.7
23290897,2,25,23,40,76,32,55,1,10.0.0.4
92681785,2,43,74,0,23,62,33,3,10.0.0.6
44253708,1,89,72,49,25,39,72,4,10.0.0.7
1310045,2,82,45,22,80,85,52,1,10.0.0.4
76490268,1,99,73,37,77,17,3,4,10.0.0.7
83110430,2,90,33,72,90,38,22,5,10.0.0.8
19315739,2,48,91,45,5,22,97,3,10.0.0.6
94688644,1,4,28,21,92,32,76,0,10.0.0.3
68778681,1,70,77,30,81,34,96,2,10.0.0.5
60659378,2,82,98,14,29,65,78,3,10.0.0.6
13389301,2,12,44,37,21,44,77,3,10.0.0.6
33696075,2,100,14,19,13,74,96,3,10.0.0.6
98349167,1,65,77,52,26,13,34,4,10.0.0.7
17184240,1,29,92,20,16,21,54,2,10.0.0.5
45121891,2,72,52,70,71,19,91,1,10.0.0.4
17860098,2,84,25,14,65,49,17,5,10.0.0.8
90681118,2,87,100,49,21,29,31,3,10.0.0.6
80978163,1,1,91,77,48,22,8,0,10.0.0.3
4625419,2,55,96,69,47,42,60,3,10.0.0.6
6898503,2,56,24,52,37,44,54,1,10.0.0.4
341500,2,54,58,39,46,41,43,5,10.0.0.8
8620928,2,58,81,94,25,38,10,5,10.0.0.8
99434577,1,66,75,35,29,95,51,2,10.0.0.5
47694465,1,51,89,97,56,49,72,4,10.0.0.7
69448329,2,7,74,68,88,43,70,5,10.0.0.8
70823469,2,2,54,33,64,86,85,1,10.0.0.4
68924286,2,99,90,48,21,58,42,3,10.0.0.6
4814714,1,48,33,77,11,76,18,0,10.0.0.3
7992763,1,29,50,46,7,22,48,4,10.0.0.7
2454463,1,91,44,47,54,24,49,4,10.0.0.7
39767803,2,13,24,41,69,55,18,5,10.0.0.8
19893865,1,89,90,63,12,52,85,4,10.0.0.7
57234264,1,69,81,19,55,23,54,2,10.0.0.5
92290571,1,24,47,95,39,47,52,0,10.0.0.3
62099444,2,61,28,99,50,22,2,5,10.0.0.8
8063723,2,80,60,10,85,87,33,5,10.0.0.8
82845926,2,74,16,59,1,99,8,3,10.0.0.6
37586438,1,86,21,11,8,16,91,2,10.0.0.5
51620611,1,96,63,4,26,42,0,2,10.0.0.5
